epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,146.468,0.95827,0.60712,1.07617,0.99636,0.96,0.99071,0.57088,1.5553,0.69118,1.51367,0.00140996,0.00140996,0.00140996
151,147.444,1.04384,0.62505,1.09054,0.97818,0.92,0.95595,0.55159,1.6135,0.65984,1.48675,0.001406,0.001406,0.001406
152,148.405,1.0223,0.62088,1.08571,0.89928,0.88,0.90725,0.43555,1.91605,0.73197,1.66063,0.00140204,0.00140204,0.00140204
153,149.361,1.08084,0.61674,1.12736,0.95551,0.92,0.95181,0.43344,1.93991,0.72517,1.69457,0.00139808,0.00139808,0.00139808
154,150.341,0.9597,0.55875,1.0321,0.95963,0.95113,0.95062,0.42465,1.9493,0.75231,1.66789,0.00139412,0.00139412,0.00139412
155,151.322,0.98326,0.59987,1.04024,0.95994,0.95851,0.93823,0.388,2.10407,0.78712,1.82286,0.00139016,0.00139016,0.00139016
156,152.304,0.9686,0.59625,1.08838,0.95931,0.94333,0.94089,0.42248,1.87148,0.7409,1.66162,0.0013862,0.0013862,0.0013862
157,153.276,1.09516,0.62766,1.14545,0.84842,0.92,0.88238,0.40661,1.87897,0.7601,1.70268,0.00138224,0.00138224,0.00138224
158,154.259,1.17639,0.66697,1.11382,0.88618,0.96,0.95227,0.40509,1.97474,0.75714,1.83276,0.00137828,0.00137828,0.00137828
159,155.238,0.99768,0.61713,1.0613,0.80959,0.88,0.84858,0.40991,1.97956,0.79994,1.72688,0.00137432,0.00137432,0.00137432
160,156.203,1.05255,0.64684,1.05796,0.85111,0.84,0.85464,0.43114,1.91187,0.7845,1.72368,0.00137036,0.00137036,0.00137036
161,157.164,0.96736,0.59027,1.06891,0.84404,0.92,0.89568,0.45115,1.92592,0.78656,1.77275,0.0013664,0.0013664,0.0013664
162,158.131,1.11053,0.80546,1.18714,0.84315,0.92,0.91949,0.49293,1.85294,0.74321,1.74403,0.00136244,0.00136244,0.00136244
163,159.102,0.98415,0.56488,1.03629,0.88862,0.95752,0.94227,0.44785,1.8572,0.72272,1.73118,0.00135848,0.00135848,0.00135848
164,160.068,1.04916,0.65023,1.11599,0.94615,0.92,0.93567,0.41761,1.99381,0.75011,1.77244,0.00135452,0.00135452,0.00135452
165,161.027,0.96589,0.59199,1.08714,0.92267,0.95473,0.94882,0.44784,1.95191,0.72067,1.71759,0.00135056,0.00135056,0.00135056
166,162.003,1.03949,0.594,1.08542,0.92283,0.96,0.95459,0.45726,1.90371,0.69286,1.66061,0.0013466,0.0013466,0.0013466
167,162.969,1.22186,0.60525,1.17777,0.947,0.92,0.94989,0.40898,1.93477,0.73489,1.72694,0.00134264,0.00134264,0.00134264
168,163.936,1.02463,0.5811,1.03859,0.88836,0.95502,0.93368,0.47112,1.7135,0.66686,1.6241,0.00133868,0.00133868,0.00133868
169,164.889,0.97354,0.58519,1.04934,0.85383,0.96,0.90818,0.4541,1.76008,0.69422,1.64467,0.00133472,0.00133472,0.00133472
170,165.856,1.05096,0.594,1.10815,0.88861,0.9574,0.86859,0.40507,1.80881,0.75155,1.73913,0.00133076,0.00133076,0.00133076
171,166.837,0.95965,0.5778,1.03944,0.84908,0.92,0.8554,0.37971,1.88618,0.78881,1.75805,0.0013268,0.0013268,0.0013268
172,167.802,1.10959,0.63451,1.09678,0.91959,0.91507,0.88278,0.37256,1.90481,0.83439,1.75592,0.00132284,0.00132284,0.00132284
173,168.762,0.96908,0.58268,1.10115,0.91296,0.92,0.90736,0.3756,2.05703,0.8383,1.89308,0.00131888,0.00131888,0.00131888
174,169.732,1.01482,0.61954,1.06436,0.88115,0.88993,0.91515,0.42297,1.89257,0.82009,1.80268,0.00131492,0.00131492,0.00131492
175,170.697,1.01429,0.62916,1.12122,0.87113,0.88,0.89639,0.45845,1.81917,0.77578,1.66928,0.00131096,0.00131096,0.00131096
176,171.662,0.94561,0.56013,1.0454,0.82594,0.96,0.89065,0.41706,1.82822,0.7864,1.68587,0.001307,0.001307,0.001307
177,172.626,0.88722,0.52287,1.0046,0.85178,0.92,0.88683,0.42811,1.85232,0.79996,1.70808,0.00130304,0.00130304,0.00130304
178,173.596,0.92426,0.55387,1.03408,0.87941,0.92,0.93235,0.48865,1.71305,0.70871,1.61377,0.00129908,0.00129908,0.00129908
179,174.562,0.95552,0.5988,1.03967,0.92226,1,0.99044,0.53053,1.71698,0.71532,1.58699,0.00129512,0.00129512,0.00129512
